stressTest_6.dasm (line 1):     [0x0000] 5E35 1000 1000  IFA [0x1000+B], [0x1000+J]
stressTest_6.dasm (line 2):     [0x0003] 5E35 0010 0010  IFA [0x10+B], [0x10+J]
stressTest_6.dasm (line 3):     [0x0006] 5E55 1000 1000  IFA [0x1000+C], [0x1000+J]
stressTest_6.dasm (line 4):     [0x0009] 5E55 0010 0010  IFA [0x10+C], [0x10+J]
stressTest_6.dasm (line 5):     [0x000C] 5E75 1000 1000  IFA [0x1000+X], [0x1000+J]
stressTest_6.dasm (line 6):     [0x000F] 5E75 0010 0010  IFA [0x10+X], [0x10+J]
stressTest_6.dasm (line 7):     [0x0012] 5E95 1000 1000  IFA [0x1000+Y], [0x1000+J]
stressTest_6.dasm (line 8):     [0x0015] 5E95 0010 0010  IFA [0x10+Y], [0x10+J]
stressTest_6.dasm (line 9):     [0x0018] 5EB5 1000 1000  IFA [0x1000+Z], [0x1000+J]
stressTest_6.dasm (line 10):    [0x001B] 5EB5 0010 0010  IFA [0x10+Z], [0x10+J]
stressTest_6.dasm (line 11):    [0x001E] 5ED5 1000 1000  IFA [0x1000+I], [0x1000+J]
stressTest_6.dasm (line 12):    [0x0021] 5ED5 0010 0010  IFA [0x10+I], [0x10+J]
stressTest_6.dasm (line 13):    [0x0024] WARNING: Redundant statement.
stressTest_6.dasm (line 13):    [0x0024] 5EF5 1000 1000  IFA [0x1000+J], [0x1000+J]
stressTest_6.dasm (line 14):    [0x0027] WARNING: Redundant statement.
stressTest_6.dasm (line 14):    [0x0027] 5EF5 0010 0010  IFA [0x10+J], [0x10+J]
stressTest_6.dasm (line 15):    [0x002A] 5E15 1000 1000  IFA [A+0x1000], [0x1000+J]
stressTest_6.dasm (line 16):    [0x002D] 5E15 0010 0010  IFA [A+0x10], [0x10+J]
stressTest_6.dasm (line 17):    [0x0030] 5E35 1000 1000  IFA [B+0x1000], [0x1000+J]
stressTest_6.dasm (line 18):    [0x0033] 5E35 0010 0010  IFA [B+0x10], [0x10+J]
stressTest_6.dasm (line 19):    [0x0036] 5E55 1000 1000  IFA [C+0x1000], [0x1000+J]
stressTest_6.dasm (line 20):    [0x0039] 5E55 0010 0010  IFA [C+0x10], [0x10+J]
stressTest_6.dasm (line 21):    [0x003C] 5E75 1000 1000  IFA [X+0x1000], [0x1000+J]
stressTest_6.dasm (line 22):    [0x003F] 5E75 0010 0010  IFA [X+0x10], [0x10+J]
stressTest_6.dasm (line 23):    [0x0042] 5E95 1000 1000  IFA [Y+0x1000], [0x1000+J]
stressTest_6.dasm (line 24):    [0x0045] 5E95 0010 0010  IFA [Y+0x10], [0x10+J]
stressTest_6.dasm (line 25):    [0x0048] 5EB5 1000 1000  IFA [Z+0x1000], [0x1000+J]
stressTest_6.dasm (line 26):    [0x004B] 5EB5 0010 0010  IFA [Z+0x10], [0x10+J]
stressTest_6.dasm (line 27):    [0x004E] 5ED5 1000 1000  IFA [I+0x1000], [0x1000+J]
stressTest_6.dasm (line 28):    [0x0051] 5ED5 0010 0010  IFA [I+0x10], [0x10+J]
stressTest_6.dasm (line 29):    [0x0054] WARNING: Redundant statement.
stressTest_6.dasm (line 29):    [0x0054] 5EF5 1000 1000  IFA [J+0x1000], [0x1000+J]
stressTest_6.dasm (line 30):    [0x0057] WARNING: Redundant statement.
stressTest_6.dasm (line 30):    [0x0057] 5EF5 0010 0010  IFA [J+0x10], [0x10+J]
stressTest_6.dasm (line 31):    [0x005A] 5F15 1000       IFA PUSH, [0x1000+J]
stressTest_6.dasm (line 32):    [0x005C] 5F15 0010       IFA PUSH, [0x10+J]
stressTest_6.dasm (line 33):    [0x005E] 5F35 1000       IFA [SP], [0x1000+J]
stressTest_6.dasm (line 34):    [0x0060] 5F35 0010       IFA [SP], [0x10+J]
stressTest_6.dasm (line 35):    [0x0062] 5F55 1000 1000  IFA [SP+0x1000], [0x1000+J]
stressTest_6.dasm (line 36):    [0x0065] 5F55 0010 0010  IFA [SP+0x10], [0x10+J]
stressTest_6.dasm (line 37):    [0x0068] 5F55 1000 1000  IFA PICK 0x1000, [0x1000+J]
stressTest_6.dasm (line 38):    [0x006B] 5F55 0010 0010  IFA PICK 0x10, [0x10+J]
stressTest_6.dasm (line 39):    [0x006E] 5F75 1000       IFA SP, [0x1000+J]
stressTest_6.dasm (line 40):    [0x0070] 5F75 0010       IFA SP, [0x10+J]
stressTest_6.dasm (line 41):    [0x0072] 5F95 1000       IFA PC, [0x1000+J]
stressTest_6.dasm (line 42):    [0x0074] 5F95 0010       IFA PC, [0x10+J]
stressTest_6.dasm (line 43):    [0x0076] 5FB5 1000       IFA EX, [0x1000+J]
stressTest_6.dasm (line 44):    [0x0078] 5FB5 0010       IFA EX, [0x10+J]
stressTest_6.dasm (line 45):    [0x007A] 5FD5 1000 1000  IFA [0x1000], [0x1000+J]
stressTest_6.dasm (line 46):    [0x007D] 5FD5 0010 0010  IFA [0x10], [0x10+J]
stressTest_6.dasm (line 47):    [0x0080] 5FF5 1000 1000  IFA 0x1000, [0x1000+J]
stressTest_6.dasm (line 48):    [0x0083] 5FF5 0010 0010  IFA 0x10, [0x10+J]
stressTest_6.dasm (line 49):    [0x0086] 4015 1000       IFA A, [A+0x1000]
stressTest_6.dasm (line 50):    [0x0088] 4015 0010       IFA A, [A+0x10]
stressTest_6.dasm (line 51):    [0x008A] 4035 1000       IFA B, [A+0x1000]
stressTest_6.dasm (line 52):    [0x008C] 4035 0010       IFA B, [A+0x10]
stressTest_6.dasm (line 53):    [0x008E] 4055 1000       IFA C, [A+0x1000]
stressTest_6.dasm (line 54):    [0x0090] 4055 0010       IFA C, [A+0x10]
stressTest_6.dasm (line 55):    [0x0092] 4075 1000       IFA X, [A+0x1000]
stressTest_6.dasm (line 56):    [0x0094] 4075 0010       IFA X, [A+0x10]
stressTest_6.dasm (line 57):    [0x0096] 4095 1000       IFA Y, [A+0x1000]
stressTest_6.dasm (line 58):    [0x0098] 4095 0010       IFA Y, [A+0x10]
stressTest_6.dasm (line 59):    [0x009A] 40B5 1000       IFA Z, [A+0x1000]
stressTest_6.dasm (line 60):    [0x009C] 40B5 0010       IFA Z, [A+0x10]
stressTest_6.dasm (line 61):    [0x009E] 40D5 1000       IFA I, [A+0x1000]
stressTest_6.dasm (line 62):    [0x00A0] 40D5 0010       IFA I, [A+0x10]
stressTest_6.dasm (line 63):    [0x00A2] 40F5 1000       IFA J, [A+0x1000]
stressTest_6.dasm (line 64):    [0x00A4] 40F5 0010       IFA J, [A+0x10]
stressTest_6.dasm (line 65):    [0x00A6] 4115 1000       IFA [A], [A+0x1000]
stressTest_6.dasm (line 66):    [0x00A8] 4115 0010       IFA [A], [A+0x10]
stressTest_6.dasm (line 67):    [0x00AA] 4135 1000       IFA [B], [A+0x1000]
stressTest_6.dasm (line 68):    [0x00AC] 4135 0010       IFA [B], [A+0x10]
stressTest_6.dasm (line 69):    [0x00AE] 4155 1000       IFA [C], [A+0x1000]
stressTest_6.dasm (line 70):    [0x00B0] 4155 0010       IFA [C], [A+0x10]
stressTest_6.dasm (line 71):    [0x00B2] 4175 1000       IFA [X], [A+0x1000]
stressTest_6.dasm (line 72):    [0x00B4] 4175 0010       IFA [X], [A+0x10]
stressTest_6.dasm (line 73):    [0x00B6] 4195 1000       IFA [Y], [A+0x1000]
stressTest_6.dasm (line 74):    [0x00B8] 4195 0010       IFA [Y], [A+0x10]
stressTest_6.dasm (line 75):    [0x00BA] 41B5 1000       IFA [Z], [A+0x1000]
stressTest_6.dasm (line 76):    [0x00BC] 41B5 0010       IFA [Z], [A+0x10]
stressTest_6.dasm (line 77):    [0x00BE] 41D5 1000       IFA [I], [A+0x1000]
stressTest_6.dasm (line 78):    [0x00C0] 41D5 0010       IFA [I], [A+0x10]
stressTest_6.dasm (line 79):    [0x00C2] 41F5 1000       IFA [J], [A+0x1000]
stressTest_6.dasm (line 80):    [0x00C4] 41F5 0010       IFA [J], [A+0x10]
stressTest_6.dasm (line 81):    [0x00C6] WARNING: Redundant statement.
stressTest_6.dasm (line 81):    [0x00C6] 4215 1000 1000  IFA [0x1000+A], [A+0x1000]
stressTest_6.dasm (line 82):    [0x00C9] WARNING: Redundant statement.
stressTest_6.dasm (line 82):    [0x00C9] 4215 0010 0010  IFA [0x10+A], [A+0x10]
stressTest_6.dasm (line 83):    [0x00CC] 4235 1000 1000  IFA [0x1000+B], [A+0x1000]
stressTest_6.dasm (line 84):    [0x00CF] 4235 0010 0010  IFA [0x10+B], [A+0x10]
stressTest_6.dasm (line 85):    [0x00D2] 4255 1000 1000  IFA [0x1000+C], [A+0x1000]
stressTest_6.dasm (line 86):    [0x00D5] 4255 0010 0010  IFA [0x10+C], [A+0x10]
stressTest_6.dasm (line 87):    [0x00D8] 4275 1000 1000  IFA [0x1000+X], [A+0x1000]
stressTest_6.dasm (line 88):    [0x00DB] 4275 0010 0010  IFA [0x10+X], [A+0x10]
stressTest_6.dasm (line 89):    [0x00DE] 4295 1000 1000  IFA [0x1000+Y], [A+0x1000]
stressTest_6.dasm (line 90):    [0x00E1] 4295 0010 0010  IFA [0x10+Y], [A+0x10]
stressTest_6.dasm (line 91):    [0x00E4] 42B5 1000 1000  IFA [0x1000+Z], [A+0x1000]
stressTest_6.dasm (line 92):    [0x00E7] 42B5 0010 0010  IFA [0x10+Z], [A+0x10]
stressTest_6.dasm (line 93):    [0x00EA] 42D5 1000 1000  IFA [0x1000+I], [A+0x1000]
stressTest_6.dasm (line 94):    [0x00ED] 42D5 0010 0010  IFA [0x10+I], [A+0x10]
stressTest_6.dasm (line 95):    [0x00F0] 42F5 1000 1000  IFA [0x1000+J], [A+0x1000]
stressTest_6.dasm (line 96):    [0x00F3] 42F5 0010 0010  IFA [0x10+J], [A+0x10]
stressTest_6.dasm (line 97):    [0x00F6] WARNING: Redundant statement.
stressTest_6.dasm (line 97):    [0x00F6] 4215 1000 1000  IFA [A+0x1000], [A+0x1000]
stressTest_6.dasm (line 98):    [0x00F9] WARNING: Redundant statement.
stressTest_6.dasm (line 98):    [0x00F9] 4215 0010 0010  IFA [A+0x10], [A+0x10]
stressTest_6.dasm (line 99):    [0x00FC] 4235 1000 1000  IFA [B+0x1000], [A+0x1000]
stressTest_6.dasm (line 100):   [0x00FF] 4235 0010 0010  IFA [B+0x10], [A+0x10]
stressTest_6.dasm (line 101):   [0x0102] 4255 1000 1000  IFA [C+0x1000], [A+0x1000]
stressTest_6.dasm (line 102):   [0x0105] 4255 0010 0010  IFA [C+0x10], [A+0x10]
stressTest_6.dasm (line 103):   [0x0108] 4275 1000 1000  IFA [X+0x1000], [A+0x1000]
stressTest_6.dasm (line 104):   [0x010B] 4275 0010 0010  IFA [X+0x10], [A+0x10]
stressTest_6.dasm (line 105):   [0x010E] 4295 1000 1000  IFA [Y+0x1000], [A+0x1000]
stressTest_6.dasm (line 106):   [0x0111] 4295 0010 0010  IFA [Y+0x10], [A+0x10]
stressTest_6.dasm (line 107):   [0x0114] 42B5 1000 1000  IFA [Z+0x1000], [A+0x1000]
stressTest_6.dasm (line 108):   [0x0117] 42B5 0010 0010  IFA [Z+0x10], [A+0x10]
stressTest_6.dasm (line 109):   [0x011A] 42D5 1000 1000  IFA [I+0x1000], [A+0x1000]
stressTest_6.dasm (line 110):   [0x011D] 42D5 0010 0010  IFA [I+0x10], [A+0x10]
